19, 17, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 17, 18, 
17, 20, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 21, 17, 
16, 22, 3,  13, 7,  7,  9,  9,  7,  7,  7,  4,  3,  23, 16, 
16, 22, 13, 7,  7,  7,  7,  7,  7,  7,  7,  9,  4,  23, 16, 
7,  7,  7,  7,  7,  11, 2,  2,  2,  10, 6,  7,  9,  23, 16, 
7,  7,  7,  7,  7,  9,  4,  13, 4,  13, 7,  7,  7,  23, 16, 
16, 22, 10, 2,  6,  7,  9,  7,  9,  7,  7,  8,  10, 23, 16, 
16, 22, 3,  13, 7,  7,  7,  7,  7,  7,  7,  4,  3,  23, 16, 
16, 24, 27, 27, 27, 27, 7,  7,  7,  27, 27, 27, 27, 25, 17, 
15, 17, 16, 16, 16, 16, 7,  7,  7,  16, 16, 16, 16, 17, 14
